"Place Order","تقدم"
"Your order has been received.","شكرا لقد تم ارسال طلبك"
"Thank you for your purchase!","شكرا لك على شرائك لمنتجناتنا "
"Sorry ,Your Order Has Been rejected.","نعتذر ،لم يتم قبول الطلب"
"Your order number is: %1.",".%1: رقم طلبك هو"
"Description:","التفاصيل"
"Please do not refresh the page until you complete payment.",".الرجاء عدم اعادة تحميل الصفحة الا بعد الانتهاء من الدفع"
